,id,published,updated,version,primary_category,all_categories,arxiv_path,http_link
75,1310.0901,2013-10-03T05:51:48Z,2013-10-03T05:51:48Z,1,cs.SE,"['cs.SE', 'cs.OS', 'cs.PL']",arxiv/pdf/1310/1310.0901v1.pdf,http://export.arxiv.org/pdf/1310.0901v1.pdf
76,1310.2148,2013-10-03T22:49:06Z,2013-10-03T22:49:06Z,1,cs.DC,"['cs.DC', 'cs.OS']",arxiv/pdf/1310/1310.2148v1.pdf,http://export.arxiv.org/pdf/1310.2148v1.pdf
77,1310.1588,2013-10-06T14:27:59Z,2013-10-06T14:27:59Z,1,cs.OS,"['cs.OS', 'cs.SE']",arxiv/pdf/1310/1310.1588v1.pdf,http://export.arxiv.org/pdf/1310.1588v1.pdf
78,1310.6301,2013-10-23T17:29:42Z,2013-10-23T17:29:42Z,1,cs.OS,['cs.OS'],arxiv/pdf/1310/1310.6301v1.pdf,http://export.arxiv.org/pdf/1310.6301v1.pdf
79,1310.6349,2013-10-23T17:35:03Z,2013-10-23T17:35:03Z,1,cs.OS,['cs.OS'],arxiv/pdf/1310/1310.6349v1.pdf,http://export.arxiv.org/pdf/1310.6349v1.pdf
80,1311.2362,2013-11-11T06:21:29Z,2013-11-11T06:21:29Z,1,cs.LO,"['cs.LO', 'cs.CR', 'cs.OS', 'F.3.1; D.4.6']",arxiv/pdf/1311/1311.2362v1.pdf,http://export.arxiv.org/pdf/1311.2362v1.pdf
81,1311.3686,2013-11-13T10:53:02Z,2013-11-13T10:53:02Z,1,cs.OS,"['cs.OS', 'cs.CR', 'cs.PF']",arxiv/pdf/1311/1311.3686v1.pdf,http://export.arxiv.org/pdf/1311.3686v1.pdf
82,1312.1810,2013-12-06T09:18:04Z,2013-12-06T09:18:04Z,1,cs.OS,['cs.OS'],arxiv/pdf/1312/1312.1810v1.pdf,http://export.arxiv.org/pdf/1312.1810v1.pdf
83,1312.3665,2013-12-12T22:38:08Z,2014-05-05T16:05:35Z,2,cs.OS,"['cs.OS', 'cs.CR']",arxiv/pdf/1312/1312.3665v2.pdf,http://export.arxiv.org/pdf/1312.3665v2.pdf
84,1402.0631,2014-02-04T06:26:34Z,2014-02-04T06:26:34Z,1,cs.OS,['cs.OS'],arxiv/pdf/1402/1402.0631v1.pdf,http://export.arxiv.org/pdf/1402.0631v1.pdf
